municipio,IDHM,IDHM Renda,IDHM Longevidade,IDHM Educacao
Cerro Grande do Sul (RS),"0,660","0,673","0,855","0,499"
Extremoz (RN),"0,660","0,640","0,808","0,555"
Bom Sucesso de Itararé (SP),"0,660","0,605","0,775","0,613"
Muritiba (BA),"0,660","0,629","0,796","0,573"
Palmas (PR),"0,660","0,687","0,827","0,505"
Cordislândia (MG),"0,660","0,654","0,807","0,544"
Seritinga (MG),"0,660","0,657","0,853","0,512"
Cristal do Sul (RS),"0,660","0,641","0,826","0,542"
São Sebastião da Vargem Alegre (MG),"0,660","0,631","0,827","0,552"
Barra do Chapéu (SP),"0,660","0,617","0,779","0,599"
Bom Jardim (RJ),"0,660","0,707","0,809","0,503"
Alto Jequitibá (MG),"0,660","0,660","0,787","0,554"
Ipuaçu (SC),"0,660","0,674","0,790","0,540"
São Francisco de Paula (MG),"0,660","0,660","0,812","0,537"
Avelinópolis (GO),"0,660","0,682","0,828","0,508"
Cocalinho (MT),"0,660","0,674","0,807","0,528"
Lavandeira (TO),"0,660","0,598","0,775","0,620"
São José do Vale do Rio Preto (RJ),"0,660","0,670","0,806","0,533"
São Pedro da Cipa (MT),"0,660","0,654","0,790","0,556"
Belmiro Braga (MG),"0,660","0,653","0,830","0,531"
Bom Jesus do Tocantins (TO),"0,660","0,621","0,833","0,555"
São Pedro dos Ferros (MG),"0,659","0,631","0,789","0,576"
Segredo (RS),"0,659","0,673","0,811","0,525"
Duas Barras (RJ),"0,659","0,677","0,790","0,534"
Timbó Grande (SC),"0,659","0,634","0,798","0,565"
Maranguape (CE),"0,659","0,587","0,788","0,618"
Monte Azul (MG),"0,659","0,611","0,811","0,578"
Jaguarari (BA),"0,659","0,644","0,806","0,551"
Fortaleza do Tabocão (TO),"0,659","0,616","0,808","0,575"
Gameleira de Goiás (GO),"0,659","0,692","0,828","0,499"
Tucumã (PA),"0,659","0,670","0,813","0,525"
Leopoldo de Bulhões (GO),"0,659","0,665","0,812","0,529"
Japeri (RJ),"0,659","0,637","0,809","0,555"
Estreito (MA),"0,659","0,666","0,800","0,536"
Passos Maia (SC),"0,659","0,648","0,808","0,547"
Quixadá (CE),"0,659","0,592","0,775","0,624"
Carnaúba dos Dantas (RN),"0,659","0,624","0,796","0,577"
Varre-Sai (RJ),"0,659","0,636","0,810","0,555"
Santa Isabel do Pará (PA),"0,659","0,622","0,798","0,576"
Couto de Magalhães de Minas (MG),"0,659","0,600","0,807","0,592"
Posse (GO),"0,659","0,659","0,819","0,530"
Sandolândia (TO),"0,659","0,626","0,791","0,578"
Pacajus (CE),"0,659","0,609","0,788","0,596"
Piratini (RS),"0,658","0,672","0,821","0,517"
Bueno Brandão (MG),"0,658","0,662","0,848","0,507"
Parintins (AM),"0,658","0,589","0,800","0,605"
Novo Planalto (GO),"0,658","0,623","0,831","0,550"
Inhapim (MG),"0,658","0,642","0,829","0,535"
Jesuânia (MG),"0,658","0,675","0,831","0,507"
Oiapoque (AP),"0,658","0,693","0,779","0,527"
Nova Cantu (PR),"0,658","0,646","0,792","0,558"
Januária (MG),"0,658","0,611","0,820","0,568"
Minduri (MG),"0,658","0,631","0,805","0,560"
Grandes Rios (PR),"0,658","0,649","0,799","0,550"
Colinas do Sul (GO),"0,658","0,633","0,820","0,549"
Caseara (TO),"0,658","0,647","0,825","0,534"
São José do Divino (MG),"0,658","0,627","0,778","0,583"
Horizonte (CE),"0,658","0,594","0,788","0,610"
Terenos (MS),"0,658","0,651","0,839","0,521"
Castanheiras (RO),"0,658","0,650","0,803","0,547"
Jaboticaba (RS),"0,658","0,636","0,820","0,547"
Santo Hipólito (MG),"0,657","0,641","0,824","0,536"
Tunas (RS),"0,657","0,659","0,794","0,541"
Matos Costa (SC),"0,657","0,630","0,831","0,541"
Encruzilhada do Sul (RS),"0,657","0,677","0,875","0,478"
Redenção da Serra (SP),"0,657","0,633","0,799","0,560"
Tianguá (CE),"0,657","0,628","0,768","0,587"
Mantenópolis (ES),"0,657","0,636","0,810","0,551"
Presidente Kennedy (ES),"0,657","0,636","0,808","0,553"
São Sebastião do Passé (BA),"0,657","0,633","0,812","0,551"
São José do Xingu (MT),"0,657","0,703","0,828","0,487"
Afogados da Ingazeira (PE),"0,657","0,623","0,807","0,565"
Marliéria (MG),"0,657","0,629","0,838","0,537"
Ibertioga (MG),"0,657","0,606","0,834","0,560"
Itacurubi (RS),"0,657","0,692","0,804","0,509"
Entre Rios (SC),"0,657","0,638","0,808","0,550"
Heliodora (MG),"0,657","0,656","0,822","0,527"
Arroio Grande (RS),"0,657","0,673","0,807","0,522"
Aguiarnópolis (TO),"0,657","0,618","0,804","0,571"
Guajará-Mirim (RO),"0,657","0,663","0,823","0,519"
São José do Mantimento (MG),"0,657","0,612","0,823","0,562"
Cocalzinho de Goiás (GO),"0,657","0,648","0,826","0,531"
Divinésia (MG),"0,657","0,645","0,785","0,559"
Cordisburgo (MG),"0,656","0,644","0,786","0,558"
Vale de São Domingos (MT),"0,656","0,658","0,765","0,560"
Pescador (MG),"0,656","0,615","0,831","0,552"
Mesquita (MG),"0,656","0,638","0,796","0,555"
Santo Antônio do Leverger (MT),"0,656","0,651","0,806","0,539"
Rio dos Índios (RS),"0,656","0,645","0,804","0,545"
Ferreira Gomes (AP),"0,656","0,635","0,820","0,542"
Itaiçaba (CE),"0,656","0,581","0,758","0,642"
Itaúna do Sul (PR),"0,656","0,651","0,798","0,543"
Planalto da Serra (MT),"0,656","0,615","0,813","0,565"
Serro (MG),"0,656","0,650","0,834","0,520"
Brejetuba (ES),"0,656","0,630","0,828","0,540"
Laranja da Terra (ES),"0,656","0,633","0,810","0,550"
Curiúva (PR),"0,656","0,649","0,795","0,546"
Brasília de Minas (MG),"0,656","0,612","0,813","0,568"
Brumado (BA),"0,656","0,630","0,807","0,554"
Augusto de Lima (MG),"0,656","0,622","0,815","0,557"
Arinos (MG),"0,656","0,607","0,815","0,570"
Antônio Olinto (PR),"0,656","0,626","0,825","0,547"
Mata (RS),"0,656","0,660","0,807","0,529"
Tavares (RS),"0,656","0,692","0,828","0,492"
Campo Maior (PI),"0,656","0,629","0,793","0,566"
Pedra Dourada (MG),"0,655","0,631","0,827","0,539"
Chalé (MG),"0,655","0,636","0,787","0,561"
Manoel Viana (RS),"0,655","0,686","0,766","0,534"
Nova Iguaçu de Goiás (GO),"0,655","0,642","0,812","0,540"
Vitória das Missões (RS),"0,655","0,659","0,809","0,526"
São João do Sabugi (RN),"0,655","0,620","0,779","0,581"
Natividade da Serra (SP),"0,655","0,664","0,814","0,520"
Lamim (MG),"0,655","0,623","0,828","0,546"
Aracati (CE),"0,655","0,607","0,742","0,624"
Sapopema (PR),"0,655","0,695","0,795","0,509"
Capanema (PA),"0,655","0,610","0,794","0,580"
Raul Soares (MG),"0,655","0,658","0,823","0,520"
Engenheiro Navarro (MG),"0,655","0,599","0,791","0,594"
Tesouro (MT),"0,655","0,635","0,791","0,560"
Baliza (GO),"0,655","0,614","0,819","0,558"
Boa Ventura de São Roque (PR),"0,655","0,635","0,802","0,553"
Carmo da Cachoeira (MG),"0,655","0,672","0,801","0,523"
Belo Vale (MG),"0,655","0,672","0,814","0,514"
Funilândia (MG),"0,655","0,612","0,844","0,545"
Mandirituba (PR),"0,655","0,677","0,807","0,515"
São João da Baliza (RR),"0,655","0,614","0,780","0,587"
Santo Antônio do Leste (MT),"0,655","0,658","0,853","0,501"
Itapemirim (ES),"0,654","0,640","0,808","0,540"
Dores do Rio Preto (ES),"0,654","0,635","0,813","0,542"
Sem-Peixe (MG),"0,654","0,623","0,826","0,543"
Saltinho (SC),"0,654","0,639","0,795","0,551"
Galiléia (MG),"0,654","0,645","0,795","0,546"
Nova Viçosa (BA),"0,654","0,657","0,780","0,546"
Portelândia (GO),"0,654","0,680","0,803","0,513"
Francisco Sá (MG),"0,654","0,605","0,808","0,572"
Pinhão (PR),"0,654","0,649","0,806","0,534"
Itapiranga (AM),"0,654","0,594","0,792","0,594"
Santa Cruz Cabrália (BA),"0,654","0,624","0,784","0,571"
Rafael Godeiro (RN),"0,654","0,583","0,789","0,607"
Talismã (TO),"0,654","0,654","0,801","0,535"
São João do Jaguaribe (CE),"0,654","0,620","0,784","0,576"
Dezesseis de Novembro (RS),"0,654","0,625","0,809","0,553"
Itaporã (MS),"0,654","0,660","0,809","0,523"
Abre Campo (MG),"0,654","0,646","0,823","0,525"
Campos Verdes (GO),"0,654","0,608","0,796","0,577"
Capão Alto (SC),"0,654","0,680","0,796","0,516"
Tanguá (RJ),"0,654","0,644","0,793","0,548"
Silva Jardim (RJ),"0,654","0,657","0,793","0,536"
Cruzeta (RN),"0,654","0,602","0,748","0,621"
Iapu (MG),"0,654","0,639","0,819","0,535"
Pedro Canário (ES),"0,654","0,643","0,812","0,536"
Damianópolis (GO),"0,654","0,614","0,815","0,558"
Epitaciolândia (AC),"0,653","0,654","0,771","0,553"
Presidente Dutra (MA),"0,653","0,628","0,788","0,563"
Campestre de Goiás (GO),"0,653","0,628","0,799","0,556"
Trombas (GO),"0,653","0,628","0,812","0,547"
Rio Rufino (SC),"0,653","0,652","0,806","0,530"
Santa Amélia (PR),"0,653","0,655","0,809","0,526"
Itabirinha (MG),"0,653","0,625","0,838","0,531"
Ilha de Itamaracá (PE),"0,653","0,627","0,809","0,548"
São Lourenço da Mata (PE),"0,653","0,614","0,793","0,571"
Ritápolis (MG),"0,653","0,649","0,815","0,526"
Novo Santo Antônio (MT),"0,653","0,640","0,829","0,526"
Bom Repouso (MG),"0,653","0,647","0,821","0,523"
Capelinha (MG),"0,653","0,641","0,824","0,527"
Divinópolis de Goiás (GO),"0,653","0,624","0,813","0,550"
São João da Mata (MG),"0,653","0,676","0,822","0,501"
São José de Ubá (RJ),"0,652","0,633","0,798","0,548"
São Martinho da Serra (RS),"0,652","0,659","0,848","0,496"
Poconé (MT),"0,652","0,643","0,806","0,534"
Jijoca de Jericoacoara (CE),"0,652","0,614","0,723","0,625"
Caraá (RS),"0,652","0,661","0,830","0,505"
Guarará (MG),"0,652","0,650","0,802","0,532"
Ipiranga (PR),"0,652","0,684","0,828","0,489"
Iracema (CE),"0,652","0,597","0,733","0,632"
Moreno (PE),"0,652","0,610","0,805","0,564"
Casa Grande (MG),"0,652","0,608","0,823","0,555"
Mauá da Serra (PR),"0,652","0,661","0,793","0,529"
Guarinos (GO),"0,652","0,604","0,815","0,563"
Porto Esperidião (MT),"0,652","0,666","0,795","0,523"
Campestre do Maranhão (MA),"0,652","0,611","0,774","0,586"
Sério (RS),"0,652","0,695","0,847","0,471"
Ibarama (RS),"0,652","0,686","0,792","0,511"
Silveirânia (MG),"0,652","0,645","0,841","0,511"
Água Doce do Norte (ES),"0,652","0,619","0,819","0,546"
Chupinguaia (RO),"0,652","0,659","0,820","0,514"
General Carneiro (PR),"0,652","0,638","0,816","0,532"
Alto Boa Vista (MT),"0,651","0,613","0,803","0,561"
Virgínia (MG),"0,651","0,635","0,829","0,523"
Porteirinha (MG),"0,651","0,593","0,796","0,585"
Arraias (TO),"0,651","0,636","0,829","0,523"
Serra dos Aimorés (MG),"0,651","0,653","0,784","0,539"
Crucilândia (MG),"0,651","0,653","0,816","0,518"
Periquito (MG),"0,651","0,593","0,839","0,555"
Goiana (PE),"0,651","0,614","0,779","0,576"
São Francisco de Goiás (GO),"0,651","0,658","0,825","0,509"
Nova Campina (SP),"0,651","0,598","0,799","0,577"
Nova Brasilândia (MT),"0,651","0,673","0,845","0,485"
Padre Bernardo (GO),"0,651","0,670","0,801","0,515"
Ivaí (PR),"0,651","0,654","0,791","0,534"
Santana do Deserto (MG),"0,651","0,660","0,849","0,493"
Rochedo (MS),"0,651","0,676","0,830","0,491"
Taquaraçu de Minas (MG),"0,651","0,643","0,818","0,525"
Bacabal (MA),"0,651","0,619","0,753","0,591"
São Geraldo (MG),"0,651","0,656","0,831","0,507"
Aparecida do Rio Negro (TO),"0,651","0,593","0,791","0,588"
Nova Tebas (PR),"0,651","0,632","0,788","0,553"
Taquarussu (MS),"0,651","0,657","0,769","0,545"
Jati (CE),"0,651","0,562","0,776","0,634"
São José das Missões (RS),"0,651","0,652","0,782","0,542"
Igaratinga (MG),"0,651","0,682","0,842","0,481"
Santa Rita do Tocantins (TO),"0,651","0,630","0,830","0,527"
Carmésia (MG),"0,650","0,631","0,805","0,540"
Gameleiras (MG),"0,650","0,559","0,796","0,618"
Cabixi (RO),"0,650","0,650","0,757","0,559"
São João do Manhuaçu (MG),"0,650","0,659","0,836","0,498"
Itanhomi (MG),"0,650","0,656","0,831","0,503"
Nova Bandeirantes (MT),"0,650","0,696","0,842","0,469"
Pinhal da Serra (RS),"0,650","0,641","0,835","0,513"
Ventania (PR),"0,650","0,633","0,798","0,543"
Faina (GO),"0,650","0,644","0,799","0,534"
Cana Verde (MG),"0,650","0,652","0,821","0,512"
Canguçu (RS),"0,650","0,683","0,819","0,491"
Pium (TO),"0,650","0,633","0,822","0,527"
Rosário Oeste (MT),"0,650","0,653","0,807","0,520"
Rio Casca (MG),"0,650","0,651","0,813","0,519"
Guadalupe (PI),"0,650","0,639","0,794","0,542"
Barros Cassal (RS),"0,650","0,690","0,795","0,500"
Marmelópolis (MG),"0,650","0,615","0,806","0,553"
Pacaraima (RR),"0,650","0,624","0,788","0,558"
Monte Alegre dos Campos (RS),"0,650","0,667","0,822","0,501"
Monjolos (MG),"0,650","0,612","0,819","0,548"
Itaporã do Tocantins (TO),"0,650","0,613","0,842","0,531"
São Luiz (RR),"0,649","0,605","0,788","0,574"
Canaã (MG),"0,649","0,644","0,798","0,532"
Jesúpolis (GO),"0,649","0,642","0,814","0,522"
Boa Vista (PB),"0,649","0,590","0,796","0,582"
Barão de Monte Alto (MG),"0,649","0,619","0,827","0,533"
Candeias do Jamari (RO),"0,649","0,652","0,819","0,512"
Cerrito (RS),"0,649","0,657","0,824","0,504"
Arapiraca (AL),"0,649","0,638","0,780","0,549"
Bayeux (PB),"0,649","0,619","0,779","0,566"
Alagoa (MG),"0,649","0,634","0,832","0,518"
Barra dos Coqueiros (SE),"0,649","0,647","0,776","0,545"
Jacobina (BA),"0,649","0,636","0,772","0,558"
São Felipe D'Oeste (RO),"0,649","0,615","0,780","0,571"
Mampituba (RS),"0,649","0,650","0,813","0,517"
Novo Horizonte do Sul (MS),"0,649","0,656","0,798","0,523"
Lebon Régis (SC),"0,649","0,632","0,806","0,537"
Novo São Joaquim (MT),"0,649","0,658","0,819","0,507"
Peixoto de Azevedo (MT),"0,649","0,691","0,761","0,521"
Timon (MA),"0,649","0,614","0,768","0,579"
Unistalda (RS),"0,649","0,626","0,804","0,542"
Santa Cruz do Capibaribe (PE),"0,648","0,667","0,806","0,506"
Carlos Chagas (MG),"0,648","0,641","0,826","0,513"
Morro da Garça (MG),"0,648","0,619","0,816","0,538"
Angico (TO),"0,648","0,576","0,773","0,612"
Dilermando de Aguiar (RS),"0,648","0,681","0,864","0,463"
Rio Manso (MG),"0,648","0,676","0,802","0,501"
Frei Inocêncio (MG),"0,648","0,624","0,779","0,559"
Felixlândia (MG),"0,648","0,651","0,815","0,514"
Cabeceira Grande (MG),"0,648","0,638","0,788","0,542"
Ubajara (CE),"0,648","0,595","0,769","0,594"
Capela Nova (MG),"0,648","0,602","0,797","0,568"
Cardoso Moreira (RJ),"0,648","0,653","0,782","0,534"
São João do Oriente (MG),"0,648","0,631","0,805","0,536"
Santa Maria de Itabira (MG),"0,648","0,622","0,821","0,533"
Reserva do Iguaçu (PR),"0,648","0,636","0,820","0,521"
Passa-Vinte (MG),"0,648","0,662","0,809","0,507"
Brejo Santo (CE),"0,647","0,596","0,768","0,592"
Presidente Figueiredo (AM),"0,647","0,627","0,802","0,538"
Santana do Jacaré (MG),"0,647","0,655","0,790","0,523"
Cachoeira (BA),"0,647","0,615","0,762","0,577"
Caracol (MS),"0,647","0,628","0,826","0,522"
Valença do Piauí (PI),"0,647","0,620","0,773","0,566"
Vila Boa (GO),"0,647","0,619","0,818","0,534"
Salinópolis (PA),"0,647","0,628","0,798","0,541"
Ibatiba (ES),"0,647","0,651","0,830","0,501"
Estância (SE),"0,647","0,627","0,782","0,552"
Santana dos Montes (MG),"0,647","0,608","0,801","0,557"
Munhoz (MG),"0,647","0,634","0,821","0,520"
Bocaina do Sul (SC),"0,647","0,642","0,768","0,549"
Goiabeira (MG),"0,647","0,628","0,799","0,539"
São Sebastião do Alto (RJ),"0,646","0,638","0,789","0,536"
Alpercata (MG),"0,646","0,629","0,824","0,521"
Lontra (MG),"0,646","0,589","0,794","0,577"
Carvalhos (MG),"0,646","0,667","0,820","0,492"
Cascavel (CE),"0,646","0,587","0,793","0,578"
Cacaulândia (RO),"0,646","0,664","0,801","0,506"
Piracema (MG),"0,646","0,646","0,809","0,515"
Vale Verde (RS),"0,646","0,666","0,816","0,497"
Santo Amaro (BA),"0,646","0,626","0,772","0,559"
Itamarandiba (MG),"0,646","0,618","0,798","0,547"
Fernandes Tourinho (MG),"0,646","0,608","0,807","0,550"
Penaforte (CE),"0,646","0,566","0,761","0,626"
Lucrécia (RN),"0,646","0,624","0,785","0,551"
Xinguara (PA),"0,646","0,671","0,800","0,503"
São Miguel do Guaporé (RO),"0,646","0,644","0,781","0,537"
Muniz Freire (ES),"0,645","0,637","0,821","0,512"
Taparuba (MG),"0,645","0,604","0,799","0,557"
Tibau do Sul (RN),"0,645","0,672","0,794","0,504"
Vila Bela da Santíssima Trindade (MT),"0,645","0,644","0,843","0,495"
Simolândia (GO),"0,645","0,595","0,826","0,546"
General Maynard (SE),"0,645","0,609","0,776","0,567"
Porto Alegre do Tocantins (TO),"0,645","0,586","0,785","0,584"
Bocaina de Minas (MG),"0,645","0,665","0,848","0,476"
Ouro Branco (RN),"0,645","0,610","0,789","0,558"
Tabuleiro do Norte (CE),"0,645","0,620","0,791","0,547"
Jatobá (PE),"0,645","0,604","0,775","0,573"
São Nicolau (RS),"0,645","0,658","0,778","0,523"
Foz do Jordão (PR),"0,645","0,654","0,828","0,496"
Paragominas (PA),"0,645","0,667","0,781","0,514"
Águas Formosas (MG),"0,645","0,624","0,811","0,531"
Manfrinópolis (PR),"0,645","0,642","0,805","0,520"
Vera Cruz (BA),"0,645","0,632","0,817","0,520"
Fernandes Pinheiro (PR),"0,645","0,647","0,791","0,525"
Durandé (MG),"0,645","0,626","0,842","0,508"
Antônio Dias (MG),"0,645","0,624","0,849","0,507"
São João do Piauí (PI),"0,645","0,615","0,769","0,567"
Mutum (MG),"0,644","0,635","0,822","0,511"
Crixás do Tocantins (TO),"0,644","0,603","0,798","0,555"
Itacoatiara (AM),"0,644","0,618","0,811","0,534"
Crateús (CE),"0,644","0,618","0,787","0,550"
Messias Targino (RN),"0,644","0,608","0,779","0,565"
Diamante D'Oeste (PR),"0,644","0,647","0,776","0,532"
Forquilha (CE),"0,644","0,583","0,760","0,602"
Cristal (RS),"0,644","0,687","0,826","0,471"
Iaciara (GO),"0,644","0,615","0,826","0,527"
Senador Firmino (MG),"0,644","0,639","0,829","0,505"
São Miguel do Anta (MG),"0,644","0,616","0,828","0,523"
Engenheiro Caldas (MG),"0,644","0,632","0,815","0,518"
Antônio João (MS),"0,643","0,633","0,799","0,526"
Rio Crespo (RO),"0,643","0,637","0,813","0,513"
Monte Carlo (SC),"0,643","0,648","0,804","0,511"
Nova Crixás (GO),"0,643","0,674","0,813","0,485"
Serranos (MG),"0,643","0,638","0,834","0,499"
São Valério (TO),"0,643","0,605","0,814","0,539"
Rio Largo (AL),"0,643","0,616","0,788","0,547"
Teixeirópolis (RO),"0,643","0,653","0,818","0,498"
Alvorada D'Oeste (RO),"0,643","0,654","0,763","0,534"
Calçoene (AP),"0,643","0,636","0,759","0,550"
Mirante da Serra (RO),"0,643","0,673","0,800","0,494"
Lagoão (RS),"0,643","0,641","0,822","0,505"
Hulha Negra (RS),"0,643","0,653","0,796","0,512"
Nova Brasilândia D'Oeste (RO),"0,643","0,664","0,763","0,524"
Nazaré (TO),"0,643","0,584","0,792","0,576"
Jequitaí (MG),"0,643","0,605","0,797","0,552"
Governador Mangabeira (BA),"0,643","0,594","0,754","0,594"
Carmópolis (SE),"0,643","0,623","0,783","0,546"
Palmeiras (BA),"0,643","0,608","0,782","0,560"
Argirita (MG),"0,643","0,645","0,817","0,505"
Quixeramobim (CE),"0,642","0,592","0,789","0,567"
Amapá (AP),"0,642","0,631","0,790","0,532"
Marechal Deodoro (AL),"0,642","0,641","0,793","0,520"
Belém do São Francisco (PE),"0,642","0,611","0,784","0,553"
Florânia (RN),"0,642","0,611","0,775","0,560"
Santa Rita do Pardo (MS),"0,642","0,655","0,800","0,505"
Laranjeiras (SE),"0,642","0,589","0,772","0,582"
Itabaiana (SE),"0,642","0,645","0,801","0,513"
Almenara (MG),"0,642","0,636","0,803","0,518"
Manga (MG),"0,642","0,624","0,799","0,530"
Almeirim (PA),"0,642","0,659","0,809","0,497"
Corrente (PI),"0,642","0,620","0,789","0,540"
Passabém (MG),"0,642","0,631","0,787","0,533"
Santana do Seridó (RN),"0,642","0,595","0,767","0,580"
Babaçulândia (TO),"0,642","0,589","0,792","0,568"
Barrolândia (TO),"0,642","0,600","0,817","0,541"
São Vicente (RN),"0,642","0,606","0,787","0,556"
Nova Laranjeiras (PR),"0,642","0,614","0,833","0,517"
São Valério do Sul (RS),"0,642","0,674","0,816","0,480"
Malta (PB),"0,642","0,620","0,800","0,533"
Coração de Jesus (MG),"0,642","0,575","0,808","0,570"
Nazaré (BA),"0,641","0,637","0,777","0,532"
Barra do Turvo (SP),"0,641","0,625","0,792","0,532"
Itacarambi (MG),"0,641","0,593","0,787","0,564"
Nova Porteirinha (MG),"0,641","0,584","0,811","0,556"
Taquaritinga do Norte (PE),"0,641","0,636","0,796","0,520"
João Lisboa (MA),"0,641","0,585","0,785","0,573"
São Mamede (PB),"0,641","0,617","0,765","0,558"
Aquiraz (CE),"0,641","0,608","0,788","0,550"
Alta Floresta D'Oeste (RO),"0,641","0,657","0,763","0,526"
Amparo do Serra (MG),"0,641","0,616","0,811","0,528"
Campo Belo do Sul (SC),"0,641","0,648","0,768","0,528"
Primavera de Rondônia (RO),"0,641","0,645","0,799","0,512"
Frei Martinho (PB),"0,641","0,631","0,770","0,542"
Axixá (MA),"0,641","0,535","0,776","0,634"
Coxixola (PB),"0,641","0,586","0,794","0,567"
Goioxim (PR),"0,641","0,593","0,813","0,547"
Vitória de Santo Antão (PE),"0,640","0,629","0,768","0,543"
Bocaiúva do Sul (PR),"0,640","0,679","0,816","0,473"
Pedras Altas (RS),"0,640","0,647","0,820","0,493"
Timbaúba dos Batistas (RN),"0,640","0,614","0,723","0,591"
São Domingos (BA),"0,640","0,601","0,757","0,575"
Macaíba (RN),"0,640","0,613","0,784","0,545"
Itaituba (PA),"0,640","0,644","0,800","0,510"
Itapipoca (CE),"0,640","0,562","0,761","0,613"
Carmolândia (TO),"0,640","0,621","0,810","0,521"
Conceição do Araguaia (PA),"0,640","0,631","0,770","0,540"
Santa Maria do Suaçuí (MG),"0,640","0,629","0,817","0,511"
Formoso (MG),"0,640","0,616","0,834","0,510"
São Gonçalo do Rio Preto (MG),"0,640","0,593","0,815","0,542"
Porto Grande (AP),"0,640","0,610","0,777","0,554"
São Romão (MG),"0,640","0,586","0,787","0,568"
Senador Guiomard (AC),"0,640","0,649","0,786","0,513"
São João do Manteninha (MG),"0,640","0,623","0,805","0,522"
Machacalis (MG),"0,640","0,607","0,783","0,552"
Catolé do Rocha (PB),"0,640","0,617","0,787","0,539"
Rio Branco do Ivaí (PR),"0,640","0,624","0,783","0,537"
Rondolândia (MT),"0,640","0,619","0,800","0,530"
Ribeirão Branco (SP),"0,639","0,592","0,797","0,553"
Piedade de Ponte Nova (MG),"0,639","0,616","0,802","0,528"
Paudalho (PE),"0,639","0,612","0,782","0,545"
Araguacema (TO),"0,639","0,587","0,805","0,553"
Nioaque (MS),"0,639","0,658","0,822","0,483"
Novo Acordo (TO),"0,639","0,618","0,797","0,530"
Caroebe (RR),"0,639","0,600","0,791","0,549"
Dois Irmãos do Buriti (MS),"0,639","0,640","0,773","0,528"
Tefé (AM),"0,639","0,637","0,801","0,511"
Apodi (RN),"0,639","0,611","0,747","0,571"
Delta (MG),"0,639","0,672","0,808","0,481"
Palmital (PR),"0,639","0,647","0,791","0,511"
São Félix do Coribe (BA),"0,639","0,601","0,784","0,555"
São Félix (BA),"0,639","0,582","0,769","0,583"
Luzinópolis (TO),"0,639","0,593","0,726","0,605"
Uruburetama (CE),"0,639","0,564","0,760","0,608"
Mariluz (PR),"0,639","0,653","0,794","0,504"
Água Branca (PI),"0,639","0,600","0,763","0,569"
São Francisco de Itabapoana (RJ),"0,639","0,618","0,791","0,533"
Desterro de Entre Rios (MG),"0,639","0,607","0,802","0,536"
Capitão Enéas (MG),"0,639","0,573","0,806","0,565"
Bandeirantes do Tocantins (TO),"0,638","0,570","0,797","0,571"
Simão Pereira (MG),"0,638","0,645","0,843","0,478"
São João Evangelista (MG),"0,638","0,620","0,806","0,520"
Goianinha (RN),"0,638","0,619","0,783","0,537"
Rio Maria (PA),"0,638","0,651","0,804","0,495"
Palhano (CE),"0,638","0,572","0,723","0,628"
Corumbataí do Sul (PR),"0,638","0,632","0,790","0,520"
Carbonita (MG),"0,638","0,617","0,796","0,529"
São Francisco (MG),"0,638","0,595","0,804","0,542"
Palmeira dos Índios (AL),"0,638","0,625","0,794","0,523"
Sabinópolis (MG),"0,638","0,637","0,812","0,502"
Ibirapuitã (RS),"0,638","0,678","0,828","0,463"
Vicente Dutra (RS),"0,638","0,656","0,809","0,489"
Bernardo Sayão (TO),"0,638","0,606","0,748","0,573"
Moeda (MG),"0,638","0,657","0,800","0,494"
São Domingos das Dores (MG),"0,638","0,602","0,800","0,539"
Beberibe (CE),"0,638","0,585","0,778","0,571"
Umburatiba (MG),"0,638","0,599","0,815","0,531"
Ministro Andreazza (RO),"0,638","0,647","0,776","0,518"
Wanderlândia (TO),"0,638","0,619","0,748","0,561"
Caraúbas (RN),"0,638","0,594","0,786","0,556"
Jaíba (MG),"0,638","0,619","0,789","0,531"
Alto Paraguai (MT),"0,638","0,612","0,784","0,541"
Nossa Senhora do Livramento (MT),"0,638","0,600","0,820","0,529"
Santo Amaro das Brotas (SE),"0,637","0,613","0,778","0,543"
Pinheiro (MA),"0,637","0,579","0,771","0,579"
Pedro Teixeira (MG),"0,637","0,587","0,794","0,555"
Caculé (BA),"0,637","0,621","0,769","0,541"
Guaramiranga (CE),"0,637","0,576","0,736","0,610"
São Jerônimo da Serra (PR),"0,637","0,626","0,822","0,503"
Capão Bonito do Sul (RS),"0,637","0,654","0,779","0,507"
Santa Terezinha do Tocantins (TO),"0,637","0,583","0,758","0,584"
Bonfim (MG),"0,637","0,669","0,834","0,464"
Paula Cândido (MG),"0,637","0,632","0,823","0,497"
Paracuru (CE),"0,637","0,597","0,746","0,581"
Apuí (AM),"0,637","0,621","0,772","0,540"
Irupi (ES),"0,637","0,658","0,798","0,493"
Itanhém (BA),"0,637","0,624","0,790","0,525"
Valente (BA),"0,637","0,623","0,729","0,568"
Santa Bárbara do Tugúrio (MG),"0,637","0,616","0,810","0,517"
Guarani de Goiás (GO),"0,637","0,569","0,814","0,557"
Oratórios (MG),"0,637","0,627","0,824","0,500"
Itaperuçu (PR),"0,637","0,654","0,779","0,507"
Joaquim Felício (MG),"0,637","0,642","0,824","0,489"
Capão do Leão (RS),"0,637","0,662","0,814","0,480"
Uiraúna (PB),"0,636","0,612","0,797","0,528"
Nova Lacerda (MT),"0,636","0,643","0,825","0,485"
Sardoá (MG),"0,636","0,594","0,812","0,533"
Felipe Guerra (RN),"0,636","0,582","0,768","0,575"
