municipio,IDHM,IDHM Renda,IDHM Longevidade,IDHM Educacao
Itaara (RS),"0,760","0,761","0,841","0,687"
Sete Lagoas (MG),"0,760","0,742","0,840","0,705"
Goiandira (GO),"0,760","0,711","0,849","0,727"
Campinas do Sul (RS),"0,760","0,753","0,842","0,691"
Araranguá (SC),"0,760","0,745","0,853","0,691"
Santa Adélia (SP),"0,760","0,750","0,835","0,702"
Tapejara (RS),"0,760","0,763","0,837","0,688"
Serafina Corrêa (RS),"0,760","0,755","0,843","0,690"
Tijucas (SC),"0,760","0,747","0,873","0,672"
Jandira (SP),"0,760","0,738","0,841","0,706"
Rio Negro (PR),"0,760","0,721","0,863","0,705"
Taiúva (SP),"0,760","0,732","0,835","0,718"
Modelo (SC),"0,760","0,751","0,886","0,659"
Descalvado (SP),"0,760","0,740","0,865","0,687"
Frederico Westphalen (RS),"0,760","0,754","0,846","0,688"
Porto Belo (SC),"0,760","0,750","0,886","0,660"
Estrela D'Oeste (SP),"0,760","0,712","0,873","0,705"
Várzea Paulista (SP),"0,759","0,720","0,863","0,705"
Penápolis (SP),"0,759","0,748","0,859","0,680"
Iporã do Oeste (SC),"0,759","0,743","0,847","0,695"
Monte Alegre do Sul (SP),"0,759","0,752","0,858","0,678"
Santo Antônio do Planalto (RS),"0,759","0,701","0,885","0,705"
Nova Candelária (RS),"0,759","0,794","0,856","0,643"
Salvador (BA),"0,759","0,772","0,835","0,679"
Cornélio Procópio (PR),"0,759","0,746","0,848","0,692"
São Lourenço (MG),"0,759","0,746","0,871","0,673"
Presidente Getúlio (SC),"0,759","0,764","0,874","0,654"
Taquaral (SP),"0,759","0,742","0,823","0,716"
Caraguatatuba (SP),"0,759","0,735","0,845","0,705"
Rio das Pedras (SP),"0,759","0,741","0,842","0,700"
Três de Maio (RS),"0,759","0,756","0,834","0,694"
Inúbia Paulista (SP),"0,759","0,688","0,849","0,750"
Gurupi (TO),"0,759","0,736","0,843","0,706"
Rubinéia (SP),"0,759","0,713","0,844","0,726"
Herval D'Oeste (SC),"0,758","0,740","0,859","0,684"
Picada Café (RS),"0,758","0,738","0,842","0,701"
São José dos Pinhais (PR),"0,758","0,749","0,859","0,678"
Guabiju (RS),"0,758","0,831","0,857","0,612"
Álvares Machado (SP),"0,758","0,712","0,834","0,732"
Cordeirópolis (SP),"0,758","0,754","0,858","0,674"
Fernando Prestes (SP),"0,758","0,746","0,859","0,680"
Iguaraçu (PR),"0,758","0,714","0,833","0,732"
Nova Mutum (MT),"0,758","0,773","0,837","0,673"
João Monlevade (MG),"0,758","0,724","0,849","0,708"
Nova Londrina (PR),"0,758","0,735","0,856","0,691"
São João Del Rei (MG),"0,758","0,733","0,860","0,690"
Piraju (SP),"0,758","0,740","0,843","0,699"
Itaúna (MG),"0,758","0,749","0,850","0,685"
Maripá (PR),"0,758","0,736","0,866","0,684"
Porto Feliz (SP),"0,758","0,737","0,836","0,706"
Colorado (RS),"0,758","0,775","0,835","0,674"
Antônio Prado (RS),"0,758","0,777","0,835","0,671"
Faxinal dos Guedes (SC),"0,758","0,746","0,863","0,676"
Piratuba (SC),"0,758","0,736","0,829","0,714"
Gravatal (SC),"0,757","0,726","0,877","0,681"
Santa Rosa de Lima (SC),"0,757","0,726","0,843","0,710"
Presidente Bernardes (SP),"0,757","0,718","0,839","0,719"
Santo Antônio do Aracanguá (SP),"0,757","0,710","0,840","0,728"
Canoinhas (SC),"0,757","0,717","0,874","0,692"
Diadema (SP),"0,757","0,717","0,844","0,716"
Vanini (RS),"0,757","0,736","0,836","0,704"
Águas de Santa Bárbara (SP),"0,757","0,744","0,840","0,695"
Dois Lajeados (RS),"0,757","0,775","0,837","0,670"
Vista Gaúcha (RS),"0,757","0,774","0,839","0,669"
Campo Mourão (PR),"0,757","0,749","0,841","0,689"
Jataí (GO),"0,757","0,774","0,856","0,656"
Piquete (SP),"0,757","0,711","0,823","0,740"
Presidente Lucena (RS),"0,757","0,727","0,885","0,674"
Colina (SP),"0,757","0,720","0,845","0,712"
Cachoeirinha (RS),"0,757","0,749","0,857","0,675"
Estância Velha (RS),"0,757","0,749","0,887","0,652"
Chapada (RS),"0,757","0,752","0,849","0,679"
Palhoça (SC),"0,757","0,752","0,859","0,672"
Pedro Leopoldo (MG),"0,757","0,723","0,856","0,700"
Ilhabela (SP),"0,756","0,739","0,843","0,693"
Balneário Piçarras (SC),"0,756","0,745","0,869","0,668"
Nova Castilho (SP),"0,756","0,694","0,823","0,755"
Jambeiro (SP),"0,756","0,727","0,860","0,690"
Quinze de Novembro (RS),"0,756","0,783","0,841","0,655"
Itabira (MG),"0,756","0,729","0,873","0,678"
Cravinhos (SP),"0,756","0,737","0,857","0,683"
Hortolândia (SP),"0,756","0,716","0,859","0,703"
Bálsamo (SP),"0,756","0,746","0,835","0,695"
Pirangi (SP),"0,756","0,735","0,837","0,701"
Contagem (MG),"0,756","0,745","0,832","0,697"
Fortaleza dos Valos (RS),"0,756","0,779","0,837","0,663"
Passos (MG),"0,756","0,741","0,886","0,658"
Coronel Fabriciano (MG),"0,755","0,715","0,865","0,696"
São Pedro (SP),"0,755","0,741","0,863","0,674"
São Ludgero (SC),"0,755","0,756","0,834","0,683"
Saudades (SC),"0,755","0,723","0,850","0,700"
Brodowski (SP),"0,755","0,738","0,864","0,675"
Aparecida (SP),"0,755","0,735","0,828","0,706"
Alto Bela Vista (SC),"0,755","0,734","0,882","0,664"
Rondonópolis (MT),"0,755","0,749","0,823","0,698"
Formiga (MG),"0,755","0,729","0,874","0,676"
Cianorte (PR),"0,755","0,747","0,841","0,685"
Montenegro (RS),"0,755","0,761","0,866","0,654"
Pongaí (SP),"0,755","0,727","0,844","0,701"
Orleans (SC),"0,755","0,749","0,873","0,657"
São José do Ouro (RS),"0,755","0,759","0,846","0,669"
Fortaleza (CE),"0,754","0,749","0,824","0,695"
Sinop (MT),"0,754","0,755","0,832","0,682"
Guabiruba (SC),"0,754","0,750","0,876","0,653"
Boracéia (SP),"0,754","0,723","0,866","0,685"
São Vendelino (RS),"0,754","0,743","0,852","0,677"
Rio do Oeste (SC),"0,754","0,769","0,892","0,625"
