municipio,IDHM,IDHM Renda,IDHM Longevidade,IDHM Educacao,cod_municipio,cod_estado,estado
Cachoeira do Arari,"0,546","0,525","0,778","0,398",1502004,15,PA
Brejo Grande do Araguaia,"0,591","0,588","0,743","0,473",1501758,15,PA
Macapá,"0,733","0,723","0,820","0,663",1600303,16,AP
Oiapoque,"0,658","0,693","0,779","0,527",1600501,16,AP
Porto Grande,"0,640","0,610","0,777","0,554",1600535,16,AP
Pracuúba,"0,614","0,539","0,790","0,544",1600550,16,AP
Cutias,"0,628","0,576","0,760","0,566",1600212,16,AP
Tartarugalzinho,"0,592","0,553","0,794","0,473",1600709,16,AP
Vitória do Jari,"0,619","0,587","0,781","0,517",1600808,16,AP
Mazagão,"0,592","0,609","0,758","0,449",1600402,16,AP
Santana,"0,692","0,654","0,794","0,638",1600600,16,AP
Pedra Branca do Amapari,"0,626","0,628","0,779","0,502",1600154,16,AP
Calçoene,"0,643","0,636","0,759","0,550",1600204,16,AP
Ferreira Gomes,"0,656","0,635","0,820","0,542",1600238,16,AP
Laranjal do Jari,"0,665","0,641","0,801","0,573",1600279,16,AP
Amapá,"0,642","0,631","0,790","0,532",1600105,16,AP
Serra do Navio,"0,709","0,659","0,783","0,692",1600055,16,AP
Itaubal,"0,576","0,528","0,758","0,477",1600253,16,AP
Rio da Conceição,"0,608","0,557","0,718","0,561",1718659,17,TO
Pequizeiro,"0,627","0,589","0,806","0,518",1716653,17,TO
Colméia,"0,671","0,645","0,816","0,574",1716703,17,TO
Pindorama do Tocantins,"0,605","0,579","0,733","0,521",1717008,17,TO
Pedro Afonso,"0,732","0,699","0,846","0,664",1716505,17,TO
Peixe,"0,674","0,679","0,812","0,555",1716604,17,TO
Itapiratins,"0,601","0,611","0,796","0,446",1710904,17,TO
Goianorte,"0,621","0,598","0,805","0,497",1708304,17,TO
Aragominas,"0,593","0,611","0,739","0,461",1701309,17,TO
Recursolândia,"0,500","0,490","0,738","0,345",1718501,17,TO
Xambioá,"0,671","0,648","0,818","0,570",1722107,17,TO
Barrolândia,"0,642","0,600","0,817","0,541",1703107,17,TO
Bernardo Sayão,"0,638","0,606","0,748","0,573",1703206,17,TO
Lavandeira,"0,660","0,598","0,775","0,620",1712157,17,TO
Itaporã do Tocantins,"0,650","0,613","0,842","0,531",1711100,17,TO
Centenário,"0,701","0,707","0,856","0,569",1704105,17,TO
Augustinópolis,"0,670","0,614","0,793","0,619",1702554,17,TO
Babaçulândia,"0,642","0,589","0,792","0,568",1703008,17,TO
Formoso do Araguaia,"0,670","0,640","0,801","0,587",1708205,17,TO
Fortaleza do Tabocão,"0,659","0,616","0,808","0,575",1708254,17,TO
Goiatins,"0,576","0,541","0,765","0,462",1709005,17,TO
Conceição do Tocantins,"0,592","0,588","0,739","0,478",1705607,17,TO
Taipas do Tocantins,"0,601","0,578","0,798","0,470",1720937,17,TO
Jaú do Tocantins,"0,662","0,672","0,815","0,529",1711506,17,TO
Lagoa da Confusão,"0,627","0,630","0,787","0,496",1711902,17,TO
Mateiros,"0,607","0,586","0,823","0,463",1712702,17,TO
Maurilândia do Tocantins,"0,580","0,542","0,724","0,498",1712801,17,TO
Miracema do Tocantins,"0,684","0,675","0,820","0,579",1713205,17,TO
Guaraí,"0,741","0,724","0,839","0,670",1709302,17,TO
Gurupi,"0,759","0,736","0,843","0,706",1709500,17,TO
São Miguel do Tocantins,"0,623","0,582","0,762","0,544",1720200,17,TO
Ipueiras,"0,620","0,576","0,797","0,518",1709807,17,TO
Araguaçu,"0,675","0,642","0,796","0,602",1702000,17,TO
Araguaína,"0,752","0,727","0,821","0,712",1702109,17,TO
Araguatins,"0,631","0,604","0,793","0,525",1702208,17,TO
Arapoema,"0,680","0,645","0,810","0,601",1702307,17,TO
Aguiarnópolis,"0,657","0,618","0,804","0,571",1700301,17,TO
Aliança do Tocantins,"0,663","0,610","0,801","0,596",1700350,17,TO
Almas,"0,636","0,616","0,796","0,524",1700400,17,TO
Ponte Alta do Tocantins,"0,624","0,587","0,779","0,531",1717909,17,TO
Porto Alegre do Tocantins,"0,645","0,586","0,785","0,584",1718006,17,TO
Porto Nacional,"0,740","0,699","0,826","0,701",1718204,17,TO
