uf,cod_uf,cod_setor,cod_municipio,municipio,distrito,tipo,geometria
DF,53,530010805080078,5300108,Brasília,BRASÍLIA,Polygon,"((-48.0188078459497, -15.8329254905927), (-48.0182317999546, -15.8326700608106), (-48.0177278275203, -15.833772531571), (-48.0182852524735, -15.8339920953107), (-48.0183929475256, -15.833801212327), (-48.0202847634143, -15.8346270274737), (-48.0205347631776, -15.8340975347314), (-48.0186318102946, -15.8332722053148), (-48.0188078459497, -15.8329254905927))"
DF,53,530010805080079,5300108,Brasília,BRASÍLIA,Polygon,"((-48.0188078459497, -15.8329254905927), (-48.0186318102946, -15.8332722053148), (-48.0205347631776, -15.8340975347314), (-48.0214422310966, -15.8344718532561), (-48.0213549770887, -15.8342085850808), (-48.02100494246639, -15.8338775445853), (-48.0188078459497, -15.8329254905927))"
DF,53,530010805080248,5300108,Brasília,BRASÍLIA,Polygon,"((-48.05529437752661, -15.8287831620658), (-48.0546868636932, -15.830508695373), (-48.0557115398605, -15.8308382885135), (-48.0560540395725, -15.8309484878583), (-48.0578274623686, -15.8315127572968), (-48.0579936911203, -15.8310354200943), (-48.05813872257811, -15.8306189484497), (-48.05842453732561, -15.8297977551983), (-48.05665211067871, -15.8292232266526), (-48.05529437752661, -15.8287831620658))"
DF,53,530010805080249,5300108,Brasília,BRASÍLIA,Polygon,"((-48.0579936911203, -15.8310354200943), (-48.0578274623686, -15.8315127572968), (-48.058982195718, -15.8318711905151), (-48.05914081359889, -15.8314107653084), (-48.0579936911203, -15.8310354200943))"
DF,53,530010805080250,5300108,Brasília,BRASÍLIA,Polygon,"((-48.0592870018699, -15.8309865144176), (-48.05914081359889, -15.8314107653084), (-48.058982195718, -15.8318711905151), (-48.0578274623686, -15.8315127572968), (-48.0570390831322, -15.833718318086), (-48.05934347995459, -15.8344586359815), (-48.0596964275082, -15.8334277392247), (-48.0606117075981, -15.8337278495736), (-48.06312553459121, -15.8344658752936), (-48.0634273881279, -15.8335126535986), (-48.0609475481724, -15.8327355982452), (-48.0613204260052, -15.8316395292638), (-48.0592870018699, -15.8309865144176))"
DF,53,530010805080251,5300108,Brasília,BRASÍLIA,Polygon,"((-48.05985805114, -15.8293260712728), (-48.0595703365623, -15.8301653357), (-48.05942756695611, -15.8305791089236), (-48.0614598444047, -15.8312321223545), (-48.0613204260052, -15.8316395292638), (-48.0625195252753, -15.8320226534866), (-48.0634131229094, -15.8326775301024), (-48.0641081696723, -15.8307091576698), (-48.0633990834226, -15.8304679242164), (-48.05985805114, -15.8293260712728))"
DF,53,530010805080252,5300108,Brasília,BRASÍLIA,Polygon,"((-48.05871337011759, -15.828953927652), (-48.05842453732561, -15.8297977551983), (-48.05813872257811, -15.8306189484497), (-48.0584833998143, -15.8307292843455), (-48.0587798387883, -15.8299117361791), (-48.0595703365623, -15.8301653357), (-48.05985805114, -15.8293260712728), (-48.05871337011759, -15.828953927652))"
DF,53,530010805080253,5300108,Brasília,BRASÍLIA,Polygon,"((-48.0599988712898, -15.8289139579093), (-48.05920309756169, -15.8286596078922), (-48.05878951935459, -15.82873140223), (-48.05871337011759, -15.828953927652), (-48.05985805114, -15.8293260712728), (-48.0599988712898, -15.8289139579093))"
DF,53,530010805080254,5300108,Brasília,BRASÍLIA,Polygon,"((-48.05780820195491, -15.8277531675115), (-48.0576631997198, -15.8281895662084), (-48.05706097979691, -15.8280049722513), (-48.05665211067871, -15.8292232266526), (-48.05842453732561, -15.8297977551983), (-48.05871337011759, -15.828953927652), (-48.05878951935459, -15.82873140223), (-48.0589943777566, -15.8281327906431), (-48.05780820195491, -15.8277531675115))"
DF,53,530010805080255,5300108,Brasília,BRASÍLIA,Polygon,"((-48.05718158570389, -15.8256959103252), (-48.0566083865814, -15.8273606500769), (-48.05780820195491, -15.8277531675115), (-48.0589943777566, -15.8281327906431), (-48.05927846717169, -15.8272845645537), (-48.0595661414852, -15.826463457807), (-48.05718158570389, -15.8256959103252))"
DF,53,530010805080256,5300108,Brasília,BRASÍLIA,Polygon,"((-48.05927846717169, -15.8272845645537), (-48.0589943777566, -15.8281327906431), (-48.0601401660921, -15.8285003902079), (-48.06042810888461, -15.8276565564331), (-48.05927846717169, -15.8272845645537))"
DF,53,530010805080257,5300108,Brasília,BRASÍLIA,Polygon,"((-48.0595661414852, -15.826463457807), (-48.05927846717169, -15.8272845645537), (-48.06042810888461, -15.8276565564331), (-48.0601401660921, -15.8285003902079), (-48.0621702054562, -15.8291624645254), (-48.0627458468739, -15.8274883941231), (-48.0607141342367, -15.8268308405823), (-48.0595661414852, -15.826463457807))"
DF,53,530010805080258,5300108,Brasília,BRASÍLIA,Polygon,"((-48.0627458468739, -15.8274883941231), (-48.0621702054562, -15.8291624645254), (-48.0601401660921, -15.8285003902079), (-48.0599988712898, -15.8289139579093), (-48.05985805114, -15.8293260712728), (-48.0633990834226, -15.8304679242164), (-48.0642606479525, -15.8279636072362), (-48.0627458468739, -15.8274883941231))"
